Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Confirmed,Death,,Continent,Population,,Contry,Populatio,Continen
Croatia,3,Both,22,All Ages,294,All causes,1,Number,2019,52311.37276,63011.93205,43188.54678,52312,63012,,Europe,4105268,,Congo,5518092,Africa
Cuba,3,Both,22,All Ages,294,All causes,1,Number,2019,105984.2436,124418.7697,89652.05846,105985,124419,,North America,11326616,,Costa Rica,5094114,North America
Cyprus,3,Both,22,All Ages,294,All causes,1,Number,2019,8707.449859,9459.405078,8033.829428,8708,9460,,Europe,875899,,Croatia,4105268,Europe
Czechia,3,Both,22,All Ages,294,All causes,1,Number,2019,113802.7958,133911.9249,96617.54033,113803,133912,,Europe,10708982,,Cuba,11326616,North America
Congo,3,Both,22,All Ages,294,All causes,1,Number,2019,564090.6527,658629.549,479764.6463,564091,658630,,Africa,5518092,,Cyprus,875899,Europe
Denmark,3,Both,22,All Ages,294,All causes,1,Number,2019,55373.76707,56889.11285,53956.74216,55374,56890,,Europe,5792203,,Czechia,10708982,Europe
Djibouti,3,Both,22,All Ages,294,All causes,1,Number,2019,7575.485406,9507.68671,6125.326716,7576,9508,,Africa,988002,,Denmark,5792203,Europe
Dominica,3,Both,22,All Ages,294,All causes,1,Number,2019,735.0275841,862.8131837,636.4973185,736,863,,North America,71991,,Djibouti,988002,Africa
Dominican Republic,3,Both,22,All Ages,294,All causes,1,Number,2019,70544.72948,87093.23327,57318.45682,70545,87094,,North America,10847904,,Dominica,71991,North America
Ecuador,3,Both,22,All Ages,294,All causes,1,Number,2019,92531.26243,113497.3951,76616.42338,92532,113498,,South America,17643060,,Dominican Republic,10847904,North America
Egypt,3,Both,22,All Ages,294,All causes,1,Number,2019,561555.8304,697778.0074,448048.7494,561556,697779,,Africa,102334403,,Ecuador,17643060,South America
El Salvador,3,Both,22,All Ages,294,All causes,1,Number,2019,40198.57069,50178.8681,31785.92659,40199,50179,,North America,6486201,,Egypt,102334403,Africa
Equatorial Guinea,3,Both,22,All Ages,294,All causes,1,Number,2019,7618.314073,9811.566708,5827.923334,7619,9812,,Africa,1402985,,El Salvador,6486201,North America
Eritrea,3,Both,22,All Ages,294,All causes,1,Number,2019,43395.23743,56613.69315,34085.41287,43396,56614,,Africa,3546427,,Equatorial Guinea,1402985,Africa
Estonia,3,Both,22,All Ages,294,All causes,1,Number,2019,15888.66922,19087.99242,13067.92039,15889,19088,,Europe,1326539,,Eritrea,3546427,Africa
Eswatini,3,Both,22,All Ages,294,All causes,1,Number,2019,11566.49251,14095.70719,9454.267838,11567,14096,,Africa,1160164,,Estonia,1326539,Europe
Ethiopia,3,Both,22,All Ages,294,All causes,1,Number,2019,559996.7635,621975.883,506116.6922,559997,621976,,Africa,114963583,,Eswatini,1160164,Africa
Fiji,3,Both,22,All Ages,294,All causes,1,Number,2019,7419.065158,9148.509023,5974.073942,7420,9149,,Oceania,896444,,Ethiopia,114963583,Africa
Finland,3,Both,22,All Ages,294,All causes,1,Number,2019,56113.32062,57860.04859,54498.60635,56114,57861,,Europe,5540718,,Fiji,896444,Oceania
France,3,Both,22,All Ages,294,All causes,1,Number,2019,603277.7992,613244.7382,593795.4593,603278,613245,,Europe,65273512,,Finland,5540718,Europe
Gabon,3,Both,22,All Ages,294,All causes,1,Number,2019,11766.91058,13642.3014,9885.434918,11767,13643,,Africa,2225728,,France,65273512,Europe
Gambia,3,Both,22,All Ages,294,All causes,1,Number,2019,13505.05575,15580.80061,11808.58629,13506,15581,,Africa,2416664,,Gabon,2225728,Africa
Georgia,3,Both,22,All Ages,294,All causes,1,Number,2019,49418.41029,56096.62542,43267.68167,49419,56097,,Europe,3989175,,Gambia,2416664,Africa
Germany,3,Both,22,All Ages,294,All causes,1,Number,2019,959888.9814,976704.8421,945808.0706,959889,976705,,Europe,83783945,,Georgia,3989175,Europe
Ghana,3,Both,22,All Ages,294,All causes,1,Number,2019,208182.1935,239075.7006,180722.9132,208183,239076,,Africa,31072945,,Germany,83783945,Europe
Greece,3,Both,22,All Ages,294,All causes,1,Number,2019,128668.6454,131434.5429,126124.5361,128669,131435,,Europe,10423056,,Ghana,31072945,Africa
Grenada,3,Both,22,All Ages,294,All causes,1,Number,2019,818.5008659,877.4943955,761.0929756,819,878,,North America,112519,,Greece,10423056,Europe
Guatemala,3,Both,22,All Ages,294,All causes,1,Number,2019,94820.58296,117671.5567,75913.39722,94821,117672,,North America,17915567,,Grenada,112519,North America
Guinea,3,Both,22,All Ages,294,All causes,1,Number,2019,114264.9427,138037.0348,93661.21112,114265,138038,,Africa,13132792,,Guatemala,17915567,North America
Guinea-Bissau,3,Both,22,All Ages,294,All causes,1,Number,2019,14816.42994,17869.94255,12363.71797,14817,17870,,Africa,1874000,,Guinea,13132792,Africa
Guyana,3,Both,22,All Ages,294,All causes,1,Number,2019,6683.80244,8287.306194,5339.184834,6684,8288,,South America,786559,,Guinea-Bissau,1874000,Africa
Haiti,3,Both,22,All Ages,294,All causes,1,Number,2019,99707.81727,121483.4653,81961.75684,99708,121484,,North America,11402533,,Guyana,786559,South America
Honduras,3,Both,22,All Ages,294,All causes,1,Number,2019,52569.32567,62389.05885,46180.45226,52570,62390,,North America,9904608,,Haiti,11402533,North America
Hungary,3,Both,22,All Ages,294,All causes,1,Number,2019,128867.8596,150891.4727,109906.7223,128868,150892,,Europe,9660350,,Honduras,9904608,North America
Iceland,3,Both,22,All Ages,294,All causes,1,Number,2019,2113.289361,2286.717617,1967.843082,2114,2287,,Europe,341250,,Hungary,9660350,Europe
India,3,Both,22,All Ages,294,All causes,1,Number,2019,9391548.569,10425633.73,8429791.218,9391549,10425634,,Asia,1380004385,,Iceland,341250,Europe
Indonesia,3,Both,22,All Ages,294,All causes,1,Number,2019,1705894.651,1886967.797,1480241.119,1705895,1886968,,Asia,273523621,,India,1380004385,Asia
