Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Continent,Confirmed,Death
Dominica,3,Both,22,All Ages,294,All causes,1,Number,2019,735.0275841,862.8131837,636.4973185,Africa,736,863
Dominican Republic,3,Both,22,All Ages,294,All causes,1,Number,2019,70544.72948,87093.23327,57318.45682,Africa,70545,87094
Ecuador,3,Both,22,All Ages,294,All causes,1,Number,2019,92531.26243,113497.3951,76616.42338,Europe,92532,113498
Egypt,3,Both,22,All Ages,294,All causes,1,Number,2019,561555.8304,697778.0074,448048.7494,Africa,561556,697779
El Salvador,3,Both,22,All Ages,294,All causes,1,Number,2019,40198.57069,50178.8681,31785.92659,Africa,40199,50179
Equatorial Guinea,3,Both,22,All Ages,294,All causes,1,Number,2019,7618.314073,9811.566708,5827.923334,Oceania,7619,9812
Eritrea,3,Both,22,All Ages,294,All causes,1,Number,2019,43395.23743,56613.69315,34085.41287,Europe,43396,56614
Estonia,3,Both,22,All Ages,294,All causes,1,Number,2019,15888.66922,19087.99242,13067.92039,Europe,15889,19088
Eswatini,3,Both,22,All Ages,294,All causes,1,Number,2019,11566.49251,14095.70719,9454.267838,Africa,11567,14096
Ethiopia,3,Both,22,All Ages,294,All causes,1,Number,2019,559996.7635,621975.883,506116.6922,Africa,559997,621976
Fiji,3,Both,22,All Ages,294,All causes,1,Number,2019,7419.065158,9148.509023,5974.073942,Europe,7420,9149
Finland,3,Both,22,All Ages,294,All causes,1,Number,2019,56113.32062,57860.04859,54498.60635,Europe,56114,57861
France,3,Both,22,All Ages,294,All causes,1,Number,2019,603277.7992,613244.7382,593795.4593,Africa,603278,613245
Gabon,3,Both,22,All Ages,294,All causes,1,Number,2019,11766.91058,13642.3014,9885.434918,Europe,11767,13643
Gambia,3,Both,22,All Ages,294,All causes,1,Number,2019,13505.05575,15580.80061,11808.58629,North America,13506,15581
Georgia,3,Both,22,All Ages,294,All causes,1,Number,2019,49418.41029,56096.62542,43267.68167,North America,49419,56097
Germany,3,Both,22,All Ages,294,All causes,1,Number,2019,959888.9814,976704.8421,945808.0706,Africa,959889,976705
Ghana,3,Both,22,All Ages,294,All causes,1,Number,2019,208182.1935,239075.7006,180722.9132,Africa,208183,239076
