location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,
Europe,3,Both,22,All Ages,294,All causes,1,Number,2018,8818259.157,9052133.076,8594726.683,8818260
America,3,Both,22,All Ages,294,All causes,1,Number,2016,6836046.298,6967636.426,6714294.724,6836047
Africa,3,Both,22,All Ages,294,All causes,1,Number,2016,9111370.103,10079910.26,8326832.524,9111371
Asia,3,Both,22,All Ages,294,All causes,1,Number,2016,29828912.63,31241471.13,28537113.96,29828913
Asia,3,Both,22,All Ages,294,All causes,1,Number,2017,30231777.92,31772707.92,28691543.59,30231778
Africa,3,Both,22,All Ages,294,All causes,1,Number,2017,9047048.721,10044904.67,8203440.467,9047049
America,3,Both,22,All Ages,294,All causes,1,Number,2017,6936060.178,7119066.05,6768429.14,6936061
Europe,3,Both,22,All Ages,294,All causes,1,Number,2016,8706010.32,8765993.498,8648906.562,8706011
Africa,3,Both,22,All Ages,294,All causes,1,Number,2018,8971520.454,10008926.58,8105929.963,8971521
Europe,3,Both,22,All Ages,294,All causes,1,Number,2017,8692792.697,8809524.272,8573488.017,8692793
America,3,Both,22,All Ages,294,All causes,1,Number,2018,7091047.304,7342505.307,6862435.397,7091048
Africa,3,Both,22,All Ages,294,All causes,1,Number,2019,8951151.894,9987221.03,8109441.896,8951152
Asia,3,Both,22,All Ages,294,All causes,1,Number,2019,31310725.91,33125656.74,29313017.13,31310726
America,3,Both,22,All Ages,294,All causes,1,Number,2019,7261119.819,7569126.098,6987140.994,7261120
Europe,3,Both,22,All Ages,294,All causes,1,Number,2019,8935075.897,9263730.973,8622725.484,8935076
